"Store","$/lb","lb sold"
"ALBANY,NY - PRICE CHOPPER",3.016158,557
"ALBANY,NY - PRICE CHOPPER",3.018456,596
"ALBANY,NY - PRICE CHOPPER",3.020305,591
"ALBANY,NY - PRICE CHOPPER",3.021614,694
"ALBANY,NY - PRICE CHOPPER",3.022253,719
"ALBANY,NY - PRICE CHOPPER",3.027068,665
"ALBANY,NY - PRICE CHOPPER",3.029605,608
"ALBANY,NY - PRICE CHOPPER",3.049759,623
"ALBANY,NY - PRICE CHOPPER",3.049924,661
"ALBANY,NY - PRICE CHOPPER",3.050847,649
"ALBANY,NY - PRICE CHOPPER",3.051965,789
"ALBANY,NY - PRICE CHOPPER",3.052699,778
"ALBANY,NY - PRICE CHOPPER",3.052997,1585
"ALBANY,NY - PRICE CHOPPER",3.053237,695
"ALBANY,NY - PRICE CHOPPER",3.053245,601
"ALBANY,NY - PRICE CHOPPER",3.053797,632
"ALBANY,NY - PRICE CHOPPER",3.148387,465
"ALBANY,NY - PRICE CHOPPER",3.153499,443
"ATLANTA - KROGER CO",2.344613,8984
"ATLANTA - KROGER CO",2.355856,6438
"ATLANTA - KROGER CO",2.366985,6815
"ATLANTA - KROGER CO",2.376415,8395
"ATLANTA - KROGER CO",2.379067,6086
"ATLANTA - KROGER CO",2.379148,8076
"ATLANTA - KROGER CO",2.386632,7286
"ATLANTA - KROGER CO",2.395229,6414
"ATLANTA - KROGER CO",2.401338,6725
"ATLANTA - KROGER CO",2.401482,6344
"ATLANTA - KROGER CO",2.408894,9017
"ATLANTA - KROGER CO",2.413614,6170
"ATLANTA - KROGER CO",2.416695,5834
"ATLANTA - KROGER CO",2.422273,6124
"ATLANTA - KROGER CO",2.423972,5932
"ATLANTA - KROGER CO",2.424683,5842
"ATLANTA - KROGER CO",2.434512,5627
"ATLANTA - KROGER CO",2.438999,6672
"ATLANTA - KROGER CO",2.473085,5796
"ATLANTA - KROGER CO",2.481359,5740
"ATLANTA - KROGER CO",2.490494,5470
"ATLANTA - KROGER CO",2.492731,5159
"ATLANTA - KROGER CO",2.532607,5413
"ATLANTA - KROGER CO",2.559499,5832
"ATLANTA - KROGER CO",2.567486,4312
"ATLANTA - KROGER CO",2.577868,4437
"ATLANTA - KROGER CO",2.585988,5838
"ATLANTA - KROGER CO",2.656197,6495
"ATLANTA - KROGER CO",2.675164,6080
"ATLANTA - KROGER CO",2.691097,6099
"ATLANTA - KROGER CO",2.7017,6118
"ATLANTA - KROGER CO",2.893145,4099
"ATLANTA - KROGER CO",2.944254,4090
"ATLANTA - KROGER CO",2.968394,4651
"ATLANTA - KROGER CO",3.010783,3524
"ATLANTA - KROGER CO",3.018222,4116
"ATLANTA - KROGER CO",3.02226,4133
"ATLANTA - KROGER CO",3.028441,3727
"ATLANTA - KROGER CO",3.028691,3590
"ATLANTA - KROGER CO",3.033782,3937
"ATLANTA - KROGER CO",3.039282,4455
"ATLANTA - KROGER CO",3.045957,3982
"ATLANTA - KROGER CO",3.103511,3845
"ATLANTA - KROGER CO",3.144486,4035
"ATLANTA - KROGER CO",3.148085,4126
"ATLANTA - KROGER CO",3.15,4040
"ATLANTA - KROGER CO",3.177914,3749
"ATLANTA - KROGER CO",3.209761,3299
"ATLANTA - KROGER CO",3.274361,4341
"ATLANTA - KROGER CO",3.32546,4022
"ATLANTA - KROGER CO",3.351024,3712
"ATLANTA - KROGER CO",3.353194,3256
"ATLANTA - KROGER CO",3.3616,3526
"ATLANTA - KROGER CO",3.378017,3894
"ATLANTA - KROGER CO",3.382525,3754
"ATLANTA - KROGER CO",3.385883,3641
"ATLANTA - KROGER CO",3.405931,3237
"ATLANTA - KROGER CO",3.409365,3481
"ATLANTA - KROGER CO",3.411846,3613
"ATLANTA - KROGER CO",3.419553,3089
"ATLANTA - KROGER CO",3.423437,3200
"ATLANTA - WINN DIXIE",2.552478,3249
"ATLANTA - WINN DIXIE",2.559048,3277
"ATLANTA - WINN DIXIE",2.560976,4018
"ATLANTA - WINN DIXIE",2.563823,3212
"ATLANTA - WINN DIXIE",2.565347,3688
"ATLANTA - WINN DIXIE",2.566553,4395
"ATLANTA - WINN DIXIE",2.567322,2748
"ATLANTA - WINN DIXIE",2.568114,3017
"ATLANTA - WINN DIXIE",2.572325,3505
"ATLANTA - WINN DIXIE",2.576069,3109
"ATLANTA - WINN DIXIE",2.57901,2506
"ATLANTA - WINN DIXIE",2.60501,2914
"ATLANTA - WINN DIXIE",2.639429,1750
"ATLANTA - WINN DIXIE",2.639545,2286
"ATLANTA - WINN DIXIE",2.639767,2751
"ATLANTA - WINN DIXIE",2.640017,2389
"ATLANTA - WINN DIXIE",2.640203,2368
"ATLANTA - WINN DIXIE",2.640581,2824
"ATLANTA - WINN DIXIE",2.668166,3556
"ATLANTA - WINN DIXIE",2.671981,2948
"ATLANTA - WINN DIXIE",2.672318,3244
"ATLANTA - WINN DIXIE",2.674286,3150
"ATLANTA - WINN DIXIE",2.677192,2977
"ATLANTA - WINN DIXIE",2.68429,3291
"ATLANTA - WINN DIXIE",2.685905,2391
"ATLANTA - WINN DIXIE",2.686798,2848
"ATLANTA - WINN DIXIE",2.687536,3498
"ATLANTA - WINN DIXIE",2.689464,2705
"ATLANTA - WINN DIXIE",2.689677,3158
"ATLANTA - WINN DIXIE",2.691695,2637
"ATLANTA - WINN DIXIE",2.69233,3403
"ATLANTA - WINN DIXIE",2.693456,2613
"ATLANTA - WINN DIXIE",2.693674,2814
"ATLANTA - WINN DIXIE",2.693878,2548
"ATLANTA - WINN DIXIE",2.694147,3178
"ATLANTA - WINN DIXIE",2.694553,2570
"ATLANTA - WINN DIXIE",2.69616,3255
"ATLANTA - WINN DIXIE",2.696323,3563
"ATLANTA - WINN DIXIE",2.698075,3481
"ATLANTA - WINN DIXIE",2.698337,2526
"ATLANTA - WINN DIXIE",2.701073,3168
"ATLANTA - WINN DIXIE",2.701905,2677
"ATLANTA - WINN DIXIE",2.70325,2615
"ATLANTA - WINN DIXIE",2.703734,3669
"ATLANTA - WINN DIXIE",2.70382,2539
"ATLANTA - WINN DIXIE",2.703963,3280
"ATLANTA - WINN DIXIE",2.705367,2739
"ATLANTA - WINN DIXIE",2.706298,2969
"ATLANTA - WINN DIXIE",2.706964,2829
"ATLANTA - WINN DIXIE",2.70742,2830
"ATLANTA - WINN DIXIE",2.707761,2912
"ATLANTA - WINN DIXIE",2.707816,2738
"ATLANTA - WINN DIXIE",2.707978,2695
"ATLANTA - WINN DIXIE",2.70831,3538
"ATLANTA - WINN DIXIE",2.709629,2669
"ATLANTA - WINN DIXIE",2.710289,3324
"ATLANTA - WINN DIXIE",2.71044,2452
"ATLANTA - WINN DIXIE",2.714286,2422
"ATLANTA - WINN DIXIE",2.715064,2755
"ATLANTA - WINN DIXIE",2.738042,2676
"ATLANTA - WINN DIXIE",2.748204,2506
"BALTI/WASH - GIANT FOOD INC",3.053099,9567
"BALTI/WASH - GIANT FOOD INC",3.053225,10108
"BALTI/WASH - GIANT FOOD INC",3.053303,10431
"BALTI/WASH - GIANT FOOD INC",3.053379,8449
"BALTI/WASH - GIANT FOOD INC",3.053392,8447
"BALTI/WASH - GIANT FOOD INC",3.053453,12946
"BALTI/WASH - GIANT FOOD INC",3.186526,10138
"BALTI/WASH - GIANT FOOD INC",3.186597,5745
"BALTI/WASH - GIANT FOOD INC",3.186866,6609
"BALTI/WASH - GIANT FOOD INC",3.716331,3772
"BALTI/WASH - GIANT FOOD INC",3.749596,4337
"BALTI/WASH - GIANT FOOD INC",3.752883,4075
"BALTI/WASH - GIANT FOOD INC",3.759815,4330
"BALTI/WASH - GIANT FOOD INC",3.759914,3732
"BALTI/WASH - GIANT FOOD INC",3.760074,4343
"BALTI/WASH - GIANT FOOD INC",3.763919,4634
"BALTI/WASH - GIANT FOOD INC",3.769574,4930
"BALTI/WASH - GIANT FOOD INC",3.771169,3968
"BALTI/WASH - GIANT FOOD INC",3.772275,4321
"BALTI/WASH - GIANT FOOD INC",3.77342,4462
"BALTI/WASH - GIANT FOOD INC",3.773603,4258
"BALTI/WASH - GIANT FOOD INC",3.775025,3956
"BALTI/WASH - GIANT FOOD INC",3.777885,4142
"BALTI/WASH - GIANT FOOD INC",3.778375,4837
"BALTI/WASH - GIANT FOOD INC",3.778696,4356
"BALTI/WASH - GIANT FOOD INC",3.779908,4121
"BALTI/WASH - GIANT FOOD INC",3.780012,4823
"BALTI/WASH - GIANT FOOD INC",3.781142,4359
"BALTI/WASH - GIANT FOOD INC",3.781182,4113
"BALTI/WASH - GIANT FOOD INC",3.781919,4159
"BALTI/WASH - GIANT FOOD INC",3.783658,4516
"BALTI/WASH - GIANT FOOD INC",3.784205,3596
"BALTI/WASH - GIANT FOOD INC",3.78488,4537
"BALTI/WASH - GIANT FOOD INC",3.786045,3669
"BALTI/WASH - GIANT FOOD INC",3.787535,3963
"BALTI/WASH - GIANT FOOD INC",3.788145,4673
"BALTI/WASH - GIANT FOOD INC",3.788354,4276
"BALTI/WASH - GIANT FOOD INC",3.788878,4244
"BALTI/WASH - GIANT FOOD INC",3.789134,4031
"BALTI/WASH - GIANT FOOD INC",3.789727,4361
"BALTI/WASH - GIANT FOOD INC",3.789864,4183
"BALTI/WASH - GIANT FOOD INC",3.790878,3749
"BALTI/WASH - GIANT FOOD INC",3.791036,3302
"BALTI/WASH - GIANT FOOD INC",3.79162,3556
"BALTI/WASH - GIANT FOOD INC",3.791709,4873
"BALTI/WASH - GIANT FOOD INC",3.79322,3540
"BALTI/WASH - GIANT FOOD INC",3.794244,4656
"BALTI/WASH - GIANT FOOD INC",3.794514,4156
"BALTI/WASH - GIANT FOOD INC",3.794942,3994
"BALTI/WASH - GIANT FOOD INC",3.795441,5133
"BALTI/WASH - GIANT FOOD INC",3.796185,4823
"BALTI/WASH - GIANT FOOD INC",3.797811,4842
"BALTI/WASH - GIANT FOOD INC",3.798112,4131
"BALTI/WASH - GIANT FOOD INC",3.798481,5002
"BALTI/WASH - GIANT FOOD INC",3.798802,3171
"BALTI/WASH - GIANT FOOD INC",3.799769,3461
"BALTI/WASH - GIANT FOOD INC",3.80018,4454
"BALTI/WASH - GIANT FOOD INC",3.801813,3971
"BALTI/WASH - GIANT FOOD INC",3.804201,4428
"BALTI/WASH - GIANT FOOD INC",3.806872,4453
"BALTI/WASH - GIANT FOOD INC",3.810843,4261
"BALTI/WASH - SAFEWAY",2.653001,6781
"BALTI/WASH - SAFEWAY",2.653217,9294
"BALTI/WASH - SAFEWAY",2.919913,6880
"BALTI/WASH - SAFEWAY",2.920301,8783
"BALTI/WASH - SAFEWAY",3.186402,7001
"BALTI/WASH - SAFEWAY",3.186961,5445
"BALTI/WASH - SAFEWAY",3.319803,5272
"BALTI/WASH - SAFEWAY",3.319921,14266
"BALTI/WASH - SAFEWAY",3.319938,4529
"BALTI/WASH - SAFEWAY",3.320268,7450
"BALTI/WASH - SAFEWAY",3.320479,4512
"BALTI/WASH - SAFEWAY",3.581137,2884
"BALTI/WASH - SAFEWAY",3.720719,4397
"BALTI/WASH - SAFEWAY",3.755145,7678
"BALTI/WASH - SAFEWAY",3.932223,4264
"BALTI/WASH - SAFEWAY",3.985595,3124
"BALTI/WASH - SAFEWAY",3.985647,3414
"BALTI/WASH - SAFEWAY",3.986236,3342
"BALTI/WASH - SAFEWAY",3.986255,3274
"BALTI/WASH - SAFEWAY",3.98644,3171
"BALTI/WASH - SAFEWAY",3.986464,4876
"BALTI/WASH - SAFEWAY",3.986489,5329
"BALTI/WASH - SAFEWAY",3.98655,3420
"BALTI/WASH - SAFEWAY",3.986617,4035
"BALTI/WASH - SAFEWAY",3.986658,4497
"BALTI/WASH - SAFEWAY",3.986669,4801
"BALTI/WASH - SAFEWAY",3.986717,5797
"BALTI/WASH - SAFEWAY",3.986756,7928
"BALTI/WASH - SAFEWAY",3.986771,3704
"BALTI/WASH - SAFEWAY",3.986778,3479
"BALTI/WASH - SAFEWAY",3.986895,3968
"BALTI/WASH - SAFEWAY",3.987013,3080
"BALTI/WASH - SAFEWAY",3.987043,3010
"BALTI/WASH - SAFEWAY",3.98708,4489
"BALTI/WASH - SAFEWAY",3.987169,3663
"BALTI/WASH - SAFEWAY",3.987176,3821
"BALTI/WASH - SAFEWAY",3.987219,3599
"BALTI/WASH - SAFEWAY",3.987233,3838
"BALTI/WASH - SAFEWAY",3.987383,3091
"BALTI/WASH - SAFEWAY",3.98739,2617
"BALTI/WASH - SAFEWAY",4.046451,4607
"BALTI/WASH - SAFEWAY",4.11865,2638
"BALTI/WASH - SAFEWAY",4.118843,2903
"BALTI/WASH - SAFEWAY",4.119198,2693
"BALTI/WASH - SAFEWAY",4.11927,4276
"BALTI/WASH - SAFEWAY",4.119343,3226
"BALTI/WASH - SAFEWAY",4.11948,4076
"BALTI/WASH - SAFEWAY",4.119569,6582
"BALTI/WASH - SAFEWAY",4.119604,3336
"BALTI/WASH - SAFEWAY",4.119687,3576
"BALTI/WASH - SAFEWAY",4.119707,3826
"BALTI/WASH - SAFEWAY",4.119749,3190
"BALTI/WASH - SAFEWAY",4.119779,3807
"BALTI/WASH - SAFEWAY",4.119878,4271
"BALTI/WASH - SAFEWAY",4.119895,3820
"BALTI/WASH - SAFEWAY",4.119919,5412
"BALTI/WASH - SAFEWAY",4.12,3575
"BALTI/WASH - SAFEWAY",4.12007,3423
"BALTI/WASH - SAFEWAY",4.120133,4212
"BALTI/WASH - SAFEWAY",4.120186,4518
"BALTI/WASH - SAFEWAY",4.120486,2797
"BALTI/WASH - SAFEWAY",4.120518,4016
"BALTI/WASH - SAFEWAY",4.120574,4321
"BALTI/WASH - SAFEWAY",4.120643,3357
"BALTI/WASH - SAFEWAY",4.12082,2781
"BALTI/WASH - SAFEWAY",4.120929,3316
"BALTI/WASH - SAFEWAY",4.121179,2781
"BALTI/WASH - SAFEWAY",4.121382,3040
"BALTI/WASH - SUPER FRESH",2.653274,4032
"BALTI/WASH - SUPER FRESH",2.653626,2965
"BALTI/WASH - SUPER FRESH",2.851205,1660
"BALTI/WASH - SUPER FRESH",3.02176,1057
"BALTI/WASH - SUPER FRESH",3.286002,993
"BALTI/WASH - SUPER FRESH",3.319483,2166
"BALTI/WASH - SUPER FRESH",3.332646,1939
"BALTI/WASH - SUPER FRESH",3.332714,1614
"BALTI/WASH - SUPER FRESH",3.332917,1601
"BALTI/WASH - SUPER FRESH",3.332952,1748
"BALTI/WASH - SUPER FRESH",3.332992,4886
"BALTI/WASH - SUPER FRESH",3.333043,2300
"BALTI/WASH - SUPER FRESH",3.333172,2065
"BALTI/WASH - SUPER FRESH",3.333262,4654
"BALTI/WASH - SUPER FRESH",3.33352,5358
"BALTI/WASH - SUPER FRESH",3.333765,3859
"BALTI/WASH - SUPER FRESH",3.409722,1152
"BALTI/WASH - SUPER FRESH",3.449208,1516
"BALTI/WASH - SUPER FRESH",3.464225,1775
"BALTI/WASH - SUPER FRESH",3.470485,1135
"BALTI/WASH - SUPER FRESH",3.53695,1069
"BALTI/WASH - SUPER FRESH",3.590051,1166
"BALTI/WASH - SUPER FRESH",3.634683,1136
"BALTI/WASH - SUPER FRESH",3.754433,1128
"BALTI/WASH - SUPER FRESH",3.773333,1200
"BALTI/WASH - SUPER FRESH",3.775281,890
"BALTI/WASH - SUPER FRESH",3.779174,1114
"BALTI/WASH - SUPER FRESH",3.788668,1306
"BALTI/WASH - SUPER FRESH",3.794425,1435
"BALTI/WASH - SUPER FRESH",3.79661,1416
"BALTI/WASH - SUPER FRESH",3.804171,863
"BALTI/WASH - SUPER FRESH",3.8125,976
"BALTI/WASH - SUPER FRESH",3.815374,1392
"BALTI/WASH - SUPER FRESH",3.823017,1034
"BALTI/WASH - SUPER FRESH",3.824706,850
"BALTI/WASH - SUPER FRESH",3.836145,830
"BALTI/WASH - SUPER FRESH",3.840982,937
"BALTI/WASH - SUPER FRESH",3.852525,990
"BALTI/WASH - SUPER FRESH",3.854701,1287
"BALTI/WASH - SUPER FRESH",3.876081,1388
"BALTI/WASH - SUPER FRESH",3.878866,776
"BALTI/WASH - SUPER FRESH",3.879121,1183
"BALTI/WASH - SUPER FRESH",3.881206,1128
"BALTI/WASH - SUPER FRESH",3.887281,1313
"BALTI/WASH - SUPER FRESH",3.890493,2009
"BALTI/WASH - SUPER FRESH",3.896605,1296
"BALTI/WASH - SUPER FRESH",3.899044,941
"BALTI/WASH - SUPER FRESH",3.901685,1068
"BALTI/WASH - SUPER FRESH",3.90458,1310
"BALTI/WASH - SUPER FRESH",3.90849,907
"BALTI/WASH - SUPER FRESH",3.919134,878
"BALTI/WASH - SUPER FRESH",3.922166,1773
"BALTI/WASH - SUPER FRESH",3.934314,1020
"BALTI/WASH - SUPER FRESH",3.945024,1055
"BALTI/WASH - SUPER FRESH",3.946529,1066
"BALTI/WASH - SUPER FRESH",3.950053,941
"BALTI/WASH - SUPER FRESH",3.957306,1054
"BALTI/WASH - SUPER FRESH",3.959218,1177
"BALTI/WASH - SUPER FRESH",3.976909,1126
"BALTI/WASH - SUPER FRESH",3.988901,901
"BALTI/WASH - SUPER FRESH",3.98995,995
"BALTI/WASH - SUPER FRESH",3.991051,894
"BALTI/WASH - SUPER FRESH",3.99469,1130
"BALTI/WASH - SUPER FRESH",3.996663,899
"BALTI/WASH - SUPER FRESH",4.007592,922
"BALTI/WASH - SUPER FRESH",4.012484,801
"BALTI/WASH - SUPER FRESH",4.066376,919
"BALTI/WASH - SUPER FRESH",4.092428,898
"BIRMINGHAM/MONTGOM - BRUNOS",2.131949,12952
"BIRMINGHAM/MONTGOM - BRUNOS",2.13583,12950
"BIRMINGHAM/MONTGOM - BRUNOS",2.148622,12663
"BIRMINGHAM/MONTGOM - BRUNOS",2.150139,10417
"BIRMINGHAM/MONTGOM - BRUNOS",2.181795,11799
"BIRMINGHAM/MONTGOM - BRUNOS",2.215393,10446
"BIRMINGHAM/MONTGOM - BRUNOS",2.279905,10550
"BIRMINGHAM/MONTGOM - BRUNOS",2.280898,11627
"BIRMINGHAM/MONTGOM - BRUNOS",2.286343,12946
"BIRMINGHAM/MONTGOM - BRUNOS",2.287561,12067
"BIRMINGHAM/MONTGOM - BRUNOS",2.291828,11637
"BIRMINGHAM/MONTGOM - BRUNOS",2.299341,10326
"BIRMINGHAM/MONTGOM - BRUNOS",2.300071,9861
"BIRMINGHAM/MONTGOM - BRUNOS",2.310977,10750
"BIRMINGHAM/MONTGOM - BRUNOS",2.319594,10238
"BIRMINGHAM/MONTGOM - BRUNOS",2.320908,9255
"BIRMINGHAM/MONTGOM - BRUNOS",2.325273,10628
"BIRMINGHAM/MONTGOM - BRUNOS",2.33167,9217
"BIRMINGHAM/MONTGOM - BRUNOS",2.334991,11663
"BIRMINGHAM/MONTGOM - BRUNOS",2.34275,10690
"BIRMINGHAM/MONTGOM - BRUNOS",2.34535,10763
"BIRMINGHAM/MONTGOM - BRUNOS",2.346393,10439
"BIRMINGHAM/MONTGOM - BRUNOS",2.347662,11143
"BIRMINGHAM/MONTGOM - BRUNOS",2.347866,8693
"BIRMINGHAM/MONTGOM - BRUNOS",2.350566,10871
"BIRMINGHAM/MONTGOM - BRUNOS",2.355228,11860
"BIRMINGHAM/MONTGOM - BRUNOS",2.355359,9973
"BIRMINGHAM/MONTGOM - BRUNOS",2.362347,9375
"BIRMINGHAM/MONTGOM - BRUNOS",2.364076,11168
"BIRMINGHAM/MONTGOM - BRUNOS",2.36447,11230
"BIRMINGHAM/MONTGOM - BRUNOS",2.365171,11255
"BIRMINGHAM/MONTGOM - BRUNOS",2.38728,9497
"BIRMINGHAM/MONTGOM - BRUNOS",2.390696,9437
"BIRMINGHAM/MONTGOM - BRUNOS",2.390844,10288
"BIRMINGHAM/MONTGOM - BRUNOS",2.390888,9087
"BIRMINGHAM/MONTGOM - BRUNOS",2.390987,8765
"BIRMINGHAM/MONTGOM - BRUNOS",2.391386,9612
"BIRMINGHAM/MONTGOM - BRUNOS",2.391482,10261
"BIRMINGHAM/MONTGOM - BRUNOS",2.391771,9138
"BIRMINGHAM/MONTGOM - BRUNOS",2.392267,9621
"BIRMINGHAM/MONTGOM - BRUNOS",2.393061,9482
"BIRMINGHAM/MONTGOM - BRUNOS",2.393178,8678
"BIRMINGHAM/MONTGOM - BRUNOS",2.393245,9030
"BIRMINGHAM/MONTGOM - BRUNOS",2.393447,7996
"BIRMINGHAM/MONTGOM - BRUNOS",2.393511,9616
"BIRMINGHAM/MONTGOM - BRUNOS",2.394089,9744
"BIRMINGHAM/MONTGOM - BRUNOS",2.395845,10926
"BIRMINGHAM/MONTGOM - BRUNOS",2.396171,9506
"BIRMINGHAM/MONTGOM - BRUNOS",2.399432,9148
"BIRMINGHAM/MONTGOM - BRUNOS",2.407571,8850
"BIRMINGHAM/MONTGOM - BRUNOS",2.409543,8236
"BIRMINGHAM/MONTGOM - BRUNOS",2.410389,9837
"BIRMINGHAM/MONTGOM - BRUNOS",2.420983,9074
"BIRMINGHAM/MONTGOM - BRUNOS",2.422963,8126
"BIRMINGHAM/MONTGOM - BRUNOS",2.425816,8243
"BIRMINGHAM/MONTGOM - BRUNOS",2.428658,8214
"BIRMINGHAM/MONTGOM - BRUNOS",2.522353,11184
"BIRMINGHAM/MONTGOM - BRUNOS",2.547822,9870
"BIRMINGHAM/MONTGOM - BRUNOS",2.554669,10902
"BIRMINGHAM/MONTGOM - BRUNOS",2.588902,9083
"BIRMINGHAM/MONTGOM - BRUNOS",2.60401,10475
"BIRMINGHAM/MONTGOM - KROGER",2.017625,2156
"BIRMINGHAM/MONTGOM - KROGER",2.024964,2083
"BIRMINGHAM/MONTGOM - KROGER",2.026304,2319
"BIRMINGHAM/MONTGOM - KROGER",2.027397,2190
"BIRMINGHAM/MONTGOM - KROGER",2.030129,2091
"BIRMINGHAM/MONTGOM - KROGER",2.040669,1795
"BIRMINGHAM/MONTGOM - KROGER",2.047451,1981
"BIRMINGHAM/MONTGOM - KROGER",2.074512,1691
"BIRMINGHAM/MONTGOM - KROGER",2.098807,1761
"BIRMINGHAM/MONTGOM - KROGER",2.144991,2276
"BIRMINGHAM/MONTGOM - KROGER",2.145992,2233
"BIRMINGHAM/MONTGOM - KROGER",2.152152,1952
"BIRMINGHAM/MONTGOM - KROGER",2.163078,2183
"BIRMINGHAM/MONTGOM - KROGER",2.164203,1894
"BIRMINGHAM/MONTGOM - KROGER",2.252868,1918
"BIRMINGHAM/MONTGOM - KROGER",2.25319,1959
"BIRMINGHAM/MONTGOM - KROGER",2.253362,1859
"BIRMINGHAM/MONTGOM - KROGER",2.253598,2015
"BIRMINGHAM/MONTGOM - KROGER",2.256978,2257
"BIRMINGHAM/MONTGOM - KROGER",2.268722,2043
"BIRMINGHAM/MONTGOM - KROGER",2.27345,1887
"BIRMINGHAM/MONTGOM - KROGER",2.275,1720
"BIRMINGHAM/MONTGOM - KROGER",2.31502,1984
"BIRMINGHAM/MONTGOM - KROGER",2.316675,1961
"BIRMINGHAM/MONTGOM - KROGER",2.327198,1956
"BIRMINGHAM/MONTGOM - KROGER",2.334067,2272
"BIRMINGHAM/MONTGOM - KROGER",2.350046,2154
"BIRMINGHAM/MONTGOM - KROGER",2.359677,2227
"BIRMINGHAM/MONTGOM - KROGER",2.371533,2199
"BIRMINGHAM/MONTGOM - KROGER",2.383192,1892
"BIRMINGHAM/MONTGOM - KROGER",2.384406,1834
"BIRMINGHAM/MONTGOM - KROGER",2.386082,2098
"BIRMINGHAM/MONTGOM - KROGER",2.386333,2195
"BIRMINGHAM/MONTGOM - KROGER",2.386575,2041
"BIRMINGHAM/MONTGOM - KROGER",2.386632,1945
"BIRMINGHAM/MONTGOM - KROGER",2.386736,2684
"BIRMINGHAM/MONTGOM - KROGER",2.38695,1977
"BIRMINGHAM/MONTGOM - KROGER",2.38702,2111
"BIRMINGHAM/MONTGOM - KROGER",2.387033,2036
"BIRMINGHAM/MONTGOM - KROGER",2.387097,2139
"BIRMINGHAM/MONTGOM - KROGER",2.387227,1738
"BIRMINGHAM/MONTGOM - KROGER",2.387298,2409
"BIRMINGHAM/MONTGOM - KROGER",2.388172,1860
"BIRMINGHAM/MONTGOM - KROGER",2.394317,2006
"BIRMINGHAM/MONTGOM - KROGER",2.395715,2287
"BIRMINGHAM/MONTGOM - KROGER",2.407018,1995
"BIRMINGHAM/MONTGOM - KROGER",2.476443,1889
"BIRMINGHAM/MONTGOM - KROGER",2.51932,1941
"BIRMINGHAM/MONTGOM - KROGER",2.520018,2223
"BIRMINGHAM/MONTGOM - KROGER",2.601935,1550
"BIRMINGHAM/MONTGOM - KROGER",2.607672,1486
"BIRMINGHAM/MONTGOM - KROGER",2.616574,1617
"BIRMINGHAM/MONTGOM - KROGER",2.617942,1594
"BIRMINGHAM/MONTGOM - KROGER",2.618195,1396
"BIRMINGHAM/MONTGOM - KROGER",2.624733,1407
"BIRMINGHAM/MONTGOM - KROGER",2.626453,1376
"BIRMINGHAM/MONTGOM - KROGER",2.652527,1603
"BIRMINGHAM/MONTGOM - KROGER",2.652778,1728
"BIRMINGHAM/MONTGOM - KROGER",2.653249,1416
"BIRMINGHAM/MONTGOM - KROGER",2.653276,1618
"BIRMINGHAM/MONTGOM - KROGER",2.65331,1722
"BIRMINGHAM/MONTGOM - KROGER",2.654061,1613
"BIRMINGHAM/MONTGOM - KROGER",2.65419,1790
